Gene name	Gene ID	Transcript ID	CCDS ID	APPRIS Annotation	MANE
C1orf216	127703	NM_152374.2	CCDS395.1	PRINCIPAL:1	MANE Select
GOLPH3L	55204	NM_018178.6	CCDS966.1	PRINCIPAL:1	MANE Select
SDF4	51150	NM_016176.6	CCDS30553.1	PRINCIPAL:1	MANE Select
STX6	10228	NM_005819.6	CCDS1341.1	PRINCIPAL:1	MANE Select
LYPLAL1	127018	NM_138794.5	CCDS1522.1	PRINCIPAL:1	MANE Select
EVI5	7813	NM_001350197.2	-	PRINCIPAL:1	MANE Select
THEMIS2	9473	NM_001105556.3	CCDS41290.1	PRINCIPAL:1	MANE Select
GTF2B	2959	NM_001514.6	CCDS715.1	PRINCIPAL:1	MANE Select
OR6N1	128372	NM_001005185.2	CCDS30905.1	PRINCIPAL:1	MANE Select
KCNK1	3775	NM_002245.4	CCDS1599.1	PRINCIPAL:1	MANE Select
KLHL12	59349	NM_021633.4	CCDS1429.1	PRINCIPAL:1	MANE Select
MIXL1	83881	NM_031944.3	CCDS1552.1	PRINCIPAL:1	MANE Select
RPAP2	79871	NM_024813.3	CCDS740.1	PRINCIPAL:1	MANE Select
OR10T2	128360	NM_001004475.1	CCDS30895.1	PRINCIPAL:1	MANE Select
SNX7	51375	NM_015976.5	CCDS755.2	PRINCIPAL:2	MANE Select
SDC3	9672	NM_014654.4	CCDS30661.1	PRINCIPAL:1	MANE Select
IL23R	149233	NM_144701.3	CCDS637.1	PRINCIPAL:1	MANE Select
IGSF8	93185	NM_052868.6	CCDS1195.1	PRINCIPAL:2	MANE Select
BCAR3	8412	NM_003567.4	CCDS745.1	PRINCIPAL:4	MANE Select
RAB29	8934	NM_003929.3	CCDS1459.1	PRINCIPAL:1	MANE Select
PGBD2	267002	NM_170725.3	CCDS31128.1	PRINCIPAL:1	MANE Select
FUCA1	2517	NM_000147.5	CCDS244.2	PRINCIPAL:1	MANE Select
IARS2	55699	NM_018060.4	CCDS1523.1	PRINCIPAL:1	MANE Select
GPR25	2848	NM_005298.4	CCDS1405.1	PRINCIPAL:1	MANE Select
C1orf210	149466	NM_182517.3	CCDS481.1	PRINCIPAL:1	MANE Select
DFFB	1677	NM_004402.4	CCDS52.1	PRINCIPAL:1	MANE Select
SLC25A24	29957	NM_013386.5	CCDS41361.1	PRINCIPAL:1	MANE Select
VASH2	79805	NM_001301056.2	CCDS73026.1	PRINCIPAL:1	MANE Select
CDA	978	NM_001785.3	CCDS210.1	PRINCIPAL:1	MANE Select
KIAA0040	9674	NM_014656.3	CCDS86034.1	PRINCIPAL:1	MANE Select
FAM102B	284611	NM_001010883.3	CCDS30786.2	PRINCIPAL:1	MANE Select
MAEL	84944	NM_032858.3	CCDS1257.1	PRINCIPAL:2	MANE Select
S100A2	6273	NM_005978.4	CCDS1044.1	PRINCIPAL:1	MANE Select
SUSD4	55061	NM_017982.4	CCDS41471.1	PRINCIPAL:4	MANE Select
TSEN15	116461	NM_052965.4	CCDS1361.1	PRINCIPAL:4	MANE Select
OR6P1	128366	NM_001160325.2	CCDS53391.1	PRINCIPAL:1	MANE Select
SPRR1A	6698	NM_005987.4	CCDS1032.1	PRINCIPAL:1	MANE Select
VWA5B1	127731	NM_001039500.3	-	PRINCIPAL:2	MANE Select
USH2A	7399	NM_206933.4	CCDS31025.1	PRINCIPAL:1	MANE Select
ICMT	23463	NM_012405.4	CCDS61.1	PRINCIPAL:1	MANE Select
NIT1	4817	NM_005600.3	CCDS1218.1	PRINCIPAL:4	MANE Select
GSTM4	2948	NM_000850.5	CCDS807.1	PRINCIPAL:1	MANE Select
NENF	29937	NM_013349.5	CCDS1505.1	PRINCIPAL:1	MANE Select
ISG15	9636	NM_005101.4	CCDS6.1	PRINCIPAL:1	MANE Select
OLFM3	118427	NM_058170.4	CCDS30781.1	PRINCIPAL:4	MANE Select
PARK7	11315	NM_007262.5	CCDS93.1	PRINCIPAL:1	MANE Select
HECTD3	79654	NM_024602.6	CCDS41318.1	PRINCIPAL:1	MANE Select
SRSF4	6429	NM_005626.5	CCDS333.1	PRINCIPAL:4	MANE Select
F3	2152	NM_001993.5	CCDS750.1	PRINCIPAL:1	MANE Select
SSR2	6746	NM_003145.4	CCDS1126.1	PRINCIPAL:1	MANE Select
HNRNPCL1	343069	NM_001013631.3	CCDS30591.1	PRINCIPAL:1	MANE Select
LCE5A	254910	NM_178438.5	CCDS1011.1	PRINCIPAL:1	MANE Select
HNRNPR	10236	NM_005826.5	CCDS232.1	PRINCIPAL:4	MANE Select
COL9A2	1298	NM_001852.4	CCDS450.1	PRINCIPAL:4	MANE Select
MTF1	4520	NM_005955.3	CCDS30676.1	PRINCIPAL:1	MANE Select
TMEM53	79639	NM_024587.4	CCDS511.1	PRINCIPAL:1	MANE Select
TENT5C	54855	NM_017709.4	CCDS896.1	PRINCIPAL:1	MANE Select
GPR153	387509	NM_207370.4	CCDS64.1	PRINCIPAL:1	MANE Select
IPP	3652	NM_005897.3	CCDS30702.1	PRINCIPAL:1	MANE Select
SH2D1B	117157	NM_053282.5	CCDS30928.1	PRINCIPAL:1	MANE Select
SPATA45	149643	NM_001024601.3	CCDS31020.1	PRINCIPAL:1	MANE Select
KLF18	105378952	NM_001358438.1	CCDS85967.1	PRINCIPAL:1	MANE Select
OR2T29	343563	NM_001004694.3	CCDS55695.1	PRINCIPAL:1	MANE Select
CHD5	26038	NM_015557.3	CCDS57.1	PRINCIPAL:1	MANE Select
HHIPL2	79802	NM_024746.4	CCDS1530.2	PRINCIPAL:1	MANE Select
PRAMEF20	645425	NM_001099852.2	CCDS41265.1	PRINCIPAL:1	MANE Select
INSL5	10022	NM_005478.6	CCDS634.1	PRINCIPAL:1	MANE Select
PPIAL4E	730262	NM_001144032.3	CCDS76201.1	PRINCIPAL:1	MANE Select
YOD1	55432	NM_018566.4	CCDS31002.1	PRINCIPAL:1	MANE Select
DNASE2B	58511	NM_021233.3	CCDS44167.1	PRINCIPAL:1	MANE Select
NOC2L	26155	NM_015658.4	CCDS3.1	PRINCIPAL:1	MANE Select
KCNA3	3738	NM_002232.5	CCDS828.2	PRINCIPAL:1	MANE Select
TENT5B	115572	NM_052943.4	CCDS294.2	PRINCIPAL:1	MANE Select
C1orf74	148304	NM_152485.4	CCDS1491.1	PRINCIPAL:1	MANE Select
TMCO1	54499	NM_019026.6	CCDS1251.2	PRINCIPAL:1	MANE Select
GPR137B	7107	NM_003272.4	CCDS1609.1	PRINCIPAL:2	MANE Select
TMEM222	84065	NM_032125.3	CCDS297.2	PRINCIPAL:1	MANE Select
TMEM9	252839	NM_001288565.2	CCDS1408.1	PRINCIPAL:4	MANE Select
C1orf198	84886	NM_032800.3	CCDS1587.1	PRINCIPAL:1	MANE Select
TMEM240	339453	NM_001114748.2	CCDS44040.1	PRINCIPAL:1	MANE Select
OR2G2	81470	NM_001001915.1	CCDS31092.1	PRINCIPAL:1	MANE Select
MDM4	4194	NM_002393.5	CCDS1447.1	PRINCIPAL:1	MANE Select
LBR	3930	NM_002296.4	CCDS1545.1	PRINCIPAL:1	MANE Select
C1orf109	54955	NM_001350770.2	CCDS423.1	PRINCIPAL:1	MANE Select
GABRD	2563	NM_000815.5	CCDS36.1	PRINCIPAL:2	MANE Select
OR2T1	26696	NM_030904.2	CCDS31115.1	PRINCIPAL:1	MANE Select
ATAD3A	55210	NM_001170535.3	CCDS53259.1	PRINCIPAL:1	MANE Select
RGL1	23179	NM_001297671.3	CCDS72992.1	PRINCIPAL:1	MANE Select
SETSIP	646817	NM_001287737.2	CCDS72821.1	PRINCIPAL:1	MANE Select
SLC16A4	9122	NM_004696.3	CCDS823.1	PRINCIPAL:2	MANE Select
LRRN2	10446	NM_201630.2	CCDS1448.1	PRINCIPAL:1	MANE Select
NTMT2	149281	NM_001136107.2	CCDS44275.1	PRINCIPAL:1	MANE Select
THEM5	284486	NM_182578.4	CCDS1005.1	PRINCIPAL:1	MANE Select
KCNJ10	3766	NM_002241.5	CCDS1193.1	PRINCIPAL:1	MANE Select
GLRX2	51022	NM_197962.3	CCDS1381.1	PRINCIPAL:2	MANE Select
DHRS3	9249	NM_004753.7	CCDS146.1	PRINCIPAL:1	MANE Select
C1orf105	92346	NM_139240.4	CCDS1301.1	PRINCIPAL:1	MANE Select
LOC122455338	122455338	NM_001395959.1	-	PRINCIPAL:1	MANE Select
NES	10763	NM_006617.2	CCDS1151.1	PRINCIPAL:1	MANE Select
STX12	23673	NM_177424.3	CCDS310.1	PRINCIPAL:1	MANE Select
PPM1J	333926	NM_005167.7	CCDS855.2	PRINCIPAL:1	MANE Select
CACYBP	27101	NM_014412.3	CCDS1315.1	PRINCIPAL:1	MANE Select
RIMKLA	284716	NM_173642.4	CCDS466.2	PRINCIPAL:1	MANE Select
RIT1	6016	NM_006912.6	CCDS1123.1	PRINCIPAL:1	MANE Select
CSF1	1435	NM_000757.6	CCDS816.1	PRINCIPAL:4	MANE Select
CASP9	842	NM_001229.5	CCDS158.1	PRINCIPAL:1	MANE Select
LAMTOR5	10542	NM_001382293.1	-	PRINCIPAL:1	MANE Select
APOA2	336	NM_001643.2	CCDS1226.1	PRINCIPAL:1	MANE Select
PRDX6	9588	NM_004905.3	CCDS1307.1	PRINCIPAL:1	MANE Select
ERO1B	56605	NM_019891.4	CCDS31064.1	PRINCIPAL:1	MANE Select
RNF11	26994	NM_014372.5	CCDS556.1	PRINCIPAL:1	MANE Select
TYW3	127253	NM_138467.3	CCDS666.1	PRINCIPAL:1	MANE Select
SMIM42	117981789	NM_001395415.1	-	PRINCIPAL:1	MANE Select
ZFYVE9	9372	NM_004799.4	CCDS563.1	PRINCIPAL:1	MANE Select
OPTC	26254	NM_014359.4	CCDS1439.1	PRINCIPAL:1	MANE Select
DPH5	51611	NM_015958.3	CCDS41358.1	PRINCIPAL:4	MANE Select
RO60	6738	NM_001173524.2	CCDS1379.1	PRINCIPAL:1	MANE Select
GPR89A	653519	NM_001097612.2	CCDS72857.1	PRINCIPAL:1	MANE Select
FLG2	388698	NM_001014342.3	CCDS30861.1	PRINCIPAL:1	MANE Select
PPIAL4G	644591	NM_001123068.3	CCDS41375.2	PRINCIPAL:1	MANE Select
SRRM1	10250	NM_005839.4	CCDS255.1	PRINCIPAL:4	MANE Select
KLHDC9	126823	NM_152366.5	CCDS30919.1	PRINCIPAL:1	MANE Select
PRXL2B	127281	NM_152371.5	CCDS44.2	PRINCIPAL:1	MANE Select
OR2T5	401993	NM_001004697.2	CCDS31118.1	PRINCIPAL:1	MANE Select
TNR	7143	NM_003285.3	CCDS1318.1	PRINCIPAL:1	MANE Select
VPS72	6944	NM_005997.3	CCDS989.1	PRINCIPAL:1	MANE Select
BCL2L15	440603	NM_001010922.3	CCDS30809.1	PRINCIPAL:1	MANE Select
PITHD1	57095	NM_020362.5	CCDS240.1	PRINCIPAL:1	MANE Select
TNFSF4	7292	NM_003326.5	CCDS1306.1	PRINCIPAL:1	MANE Select
MICOS10	440574	NM_001032363.4	CCDS30620.1	PRINCIPAL:1	MANE Select
FGGY	55277	NM_018291.5	CCDS611.2	PRINCIPAL:1	MANE Select
SESN2	83667	NM_031459.5	CCDS321.1	PRINCIPAL:1	MANE Select
NVL	4931	NM_002533.4	CCDS1541.1	PRINCIPAL:1	MANE Select
IL20	50604	NM_018724.4	CCDS1470.1	PRINCIPAL:1	MANE Select
SELENOF	9403	NM_004261.5	CCDS76178.1	PRINCIPAL:1	MANE Select
CD1B	910	NM_001764.3	CCDS1176.1	PRINCIPAL:1	MANE Select
RRP15	51018	NM_016052.4	CCDS1520.2	PRINCIPAL:2	MANE Select
DNALI1	7802	NM_003462.5	CCDS420.1	PRINCIPAL:1	MANE Select
TSPAN1	10103	NM_005727.4	CCDS530.1	PRINCIPAL:1	MANE Select
PRPF3	9129	NM_004698.4	CCDS951.1	PRINCIPAL:1	MANE Select
DENND4B	9909	NM_014856.3	CCDS44228.1	PRINCIPAL:4	MANE Select
ZNF692	55657	NM_017865.4	CCDS31127.1	PRINCIPAL:2	MANE Select
GPR52	9293	NM_005684.5	CCDS30941.1	PRINCIPAL:1	MANE Select
PGD	5226	NM_002631.4	CCDS113.1	PRINCIPAL:1	MANE Select
ACADM	34	NM_000016.6	CCDS668.1	PRINCIPAL:2	MANE Select
KIAA0319L	79932	NM_024874.5	CCDS390.1	PRINCIPAL:2	MANE Select
TAFA3	284467	NM_182759.3	CCDS856.1	PRINCIPAL:1	MANE Select
SLC44A3	126969	NM_001114106.3	CCDS44176.1	PRINCIPAL:4	MANE Select
CD53	963	NM_000560.4	CCDS829.1	PRINCIPAL:1	MANE Select
TARBP1	6894	NM_005646.4	CCDS1601.1	PRINCIPAL:2	MANE Select
FOXE3	2301	NM_012186.3	CCDS550.1	PRINCIPAL:1	MANE Select
CERS2	29956	NM_022075.5	CCDS973.1	PRINCIPAL:1	MANE Select
RERE	473	NM_001042681.2	CCDS95.1	PRINCIPAL:1	MANE Select
FMO5	2330	NM_001461.4	CCDS926.1	PRINCIPAL:1	MANE Select
MAP10	54627	NM_019090.3	CCDS44334.1	PRINCIPAL:1	MANE Select
OR4F29	729759	NM_001005221.2	CCDS72675.1	PRINCIPAL:1	MANE Select
CASQ1	844	NM_001231.5	CCDS1198.2	PRINCIPAL:1	MANE Select
RGS13	6003	NM_002927.5	CCDS1376.1	PRINCIPAL:1	MANE Select
SH3BGRL3	83442	NM_031286.4	CCDS278.1	PRINCIPAL:1	MANE Select
TMEM81	388730	NM_203376.2	CCDS1450.1	PRINCIPAL:1	MANE Select
MPL	4352	NM_005373.3	CCDS483.1	PRINCIPAL:1	MANE Select
NUF2	83540	NM_145697.3	CCDS1245.1	PRINCIPAL:1	MANE Select
GREM2	64388	NM_022469.4	CCDS31070.1	PRINCIPAL:1	MANE Select
ATP1A1	476	NM_000701.8	CCDS887.1	PRINCIPAL:4	MANE Select
GJA4	2701	NM_002060.3	CCDS30669.1	PRINCIPAL:1	MANE Select
KIF1B	23095	NM_001365951.3	-	PRINCIPAL:1	MANE Select
MLLT11	10962	NM_006818.4	CCDS982.1	PRINCIPAL:1	MANE Select
POGZ	23126	NM_015100.4	CCDS997.1	PRINCIPAL:4	MANE Select
GPATCH3	63906	NM_022078.3	CCDS290.1	PRINCIPAL:1	MANE Select
AGO3	192669	NM_024852.4	CCDS399.1	PRINCIPAL:1	MANE Select
MRPL37	51253	NM_016491.4	CCDS589.1	PRINCIPAL:1	MANE Select
SYPL2	284612	NM_001040709.2	CCDS41365.1	PRINCIPAL:4	MANE Select
VPS45	11311	NM_007259.5	CCDS944.1	PRINCIPAL:1	MANE Select
ABCA4	24	NM_000350.3	CCDS747.1	PRINCIPAL:1	MANE Select
FAM177B	400823	NM_001394345.1	-	PRINCIPAL:2	MANE Select
ZMYM6	9204	NM_007167.4	CCDS387.2	PRINCIPAL:1	MANE Select
DDX20	11218	NM_007204.5	CCDS842.1	PRINCIPAL:1	MANE Select
KANK4	163782	NM_181712.5	CCDS620.1	PRINCIPAL:1	MANE Select
PPP1R8	5511	NM_014110.5	CCDS311.1	PRINCIPAL:1	MANE Select
CLCNKB	1188	NM_000085.5	CCDS168.1	PRINCIPAL:1	MANE Select
USP21	27005	NM_001014443.3	CCDS30920.1	PRINCIPAL:1	MANE Select
NUDT17	200035	NM_001012758.3	CCDS72865.1	PRINCIPAL:1	MANE Select
BECN2	441925	NM_001290693.1	CCDS81433.1	PRINCIPAL:1	MANE Select
EIF2B3	8891	NM_020365.5	CCDS517.1	PRINCIPAL:1	MANE Select
PARP1	142	NM_001618.4	CCDS1554.1	PRINCIPAL:1	MANE Select
SPRR4	163778	NM_173080.3	CCDS1031.1	PRINCIPAL:1	MANE Select
ADCY10	55811	NM_018417.6	CCDS1265.1	PRINCIPAL:1	MANE Select
RHBDL2	54933	NM_017821.5	CCDS30680.1	PRINCIPAL:1	MANE Select
VANGL1	81839	NM_138959.3	CCDS883.1	PRINCIPAL:4	MANE Select
MMACHC	25974	NM_015506.3	CCDS41324.1	PRINCIPAL:1	MANE Select
MEAF6	64769	NM_001270875.3	CCDS59196.1	PRINCIPAL:4	MANE Select
DNTTIP2	30836	NM_014597.5	CCDS44174.1	PRINCIPAL:1	MANE Select
ANGPTL7	10218	NM_021146.4	CCDS128.1	PRINCIPAL:1	MANE Select
TNN	63923	NM_022093.2	CCDS30943.1	PRINCIPAL:1	MANE Select
LDLRAD2	401944	NM_001013693.3	CCDS30624.1	PRINCIPAL:1	MANE Select
IL10	3586	NM_000572.3	CCDS1467.1	PRINCIPAL:1	MANE Select
NOTCH2	4853	NM_024408.4	CCDS908.1	PRINCIPAL:1	MANE Select
DMRTB1	63948	NM_033067.3	CCDS581.1	PRINCIPAL:1	MANE Select
CHD1L	9557	NM_004284.6	CCDS927.1	PRINCIPAL:1	MANE Select
WLS	79971	NM_024911.7	CCDS642.1	PRINCIPAL:1	MANE Select
OR2M4	26245	NM_017504.2	CCDS31108.1	PRINCIPAL:1	MANE Select
RCOR3	55758	NM_001136223.3	CCDS44312.1	PRINCIPAL:4	MANE Select
GPR161	23432	NM_001375883.1	-	PRINCIPAL:1	MANE Select
FCAMR	83953	NM_001170631.2	CCDS53468.1	PRINCIPAL:2	MANE Select
STMN1	3925	NM_005563.4	CCDS269.1	PRINCIPAL:1	MANE Select
USP33	23032	NM_201624.3	CCDS679.1	PRINCIPAL:4	MANE Select
PER3	8863	NM_001377275.1	-	PRINCIPAL:4	MANE Select
PRAMEF25	441873	NM_001310134.3	CCDS81265.1	PRINCIPAL:1	MANE Select
PRG4	10216	NM_005807.6	CCDS1369.1	PRINCIPAL:2	MANE Select
YIPF1	54432	NM_018982.5	CCDS584.1	PRINCIPAL:1	MANE Select
CD1E	913	NM_030893.4	CCDS41417.1	PRINCIPAL:2	MANE Select
HSD11B1	3290	NM_005525.4	CCDS1489.1	PRINCIPAL:1	MANE Select
TMEM61	199964	NM_182532.3	CCDS601.1	PRINCIPAL:2	MANE Select
LRRC71	149499	NM_144702.3	CCDS44249.1	PRINCIPAL:4	MANE Select
SRSF11	9295	NM_001350605.2	CCDS647.1	PRINCIPAL:4	MANE Select
RCAN3	11123	NM_013441.4	CCDS254.1	PRINCIPAL:1	MANE Select
NME7	29922	NM_013330.5	CCDS1277.1	PRINCIPAL:1	MANE Select
TMEM50A	23585	NM_014313.4	CCDS264.1	PRINCIPAL:1	MANE Select
CATSPER4	378807	NM_198137.2	CCDS30645.1	PRINCIPAL:2	MANE Select
KCNA2	3737	NM_004974.4	CCDS827.1	PRINCIPAL:1	MANE Select
BEST4	266675	NM_153274.3	CCDS514.1	PRINCIPAL:1	MANE Select
WASF2	10163	NM_006990.5	CCDS304.1	PRINCIPAL:1	MANE Select
TPRG1L	127262	NM_182752.4	CCDS47.1	PRINCIPAL:1	MANE Select
PSRC1	84722	NM_001032291.3	CCDS797.1	PRINCIPAL:2	MANE Select
F5	2153	NM_000130.5	CCDS1281.1	PRINCIPAL:1	MANE Select
SLC25A44	9673	NM_014655.4	CCDS1133.1	PRINCIPAL:4	MANE Select
CNST	163882	NM_152609.3	CCDS1628.1	PRINCIPAL:1	MANE Select
SPTA1	6708	NM_003126.4	CCDS41423.1	PRINCIPAL:2	MANE Select
BLZF1	8548	NM_001320973.2	CCDS1278.1	PRINCIPAL:1	MANE Select
BRINP3	339479	NM_199051.3	CCDS1373.1	PRINCIPAL:1	MANE Select
UTP25	27042	NM_014388.7	CCDS1493.1	PRINCIPAL:1	MANE Select
AJAP1	55966	NM_018836.4	CCDS54.1	PRINCIPAL:1	MANE Select
EMC1	23065	NM_015047.3	CCDS190.1	PRINCIPAL:4	MANE Select
OR10J1	26476	NM_012351.3	CCDS1185.1	PRINCIPAL:1	MANE Select
PPIAL4C	653598	NM_001135789.5	CCDS72898.1	PRINCIPAL:1	MANE Select
XKR8	55113	NM_018053.4	CCDS315.1	PRINCIPAL:1	MANE Select
USF1	7391	NM_007122.5	CCDS1214.1	PRINCIPAL:1	MANE Select
C1orf87	127795	NM_152377.3	CCDS614.1	PRINCIPAL:1	MANE Select
MAD2L2	10459	NM_006341.4	CCDS134.1	PRINCIPAL:1	MANE Select
BGLAP	632	NM_199173.6	CCDS1134.1	PRINCIPAL:1	MANE Select
EXTL2	2135	NM_001033025.3	CCDS775.1	PRINCIPAL:4	MANE Select
S100A7A	338324	NM_176823.4	CCDS30872.1	PRINCIPAL:1	MANE Select
CREB3L4	148327	NM_001255978.2	CCDS1056.1	PRINCIPAL:1	MANE Select
PEX10	5192	NM_002617.4	CCDS44045.1	PRINCIPAL:1	MANE Select
NECAP2	55707	NM_018090.5	CCDS173.1	PRINCIPAL:1	MANE Select
ASB17	127247	NM_080868.3	CCDS671.1	PRINCIPAL:1	MANE Select
TSHB	7252	NM_000549.5	CCDS880.1	PRINCIPAL:1	MANE Select
PTBP2	58155	NM_021190.4	CCDS754.1	PRINCIPAL:4	MANE Select
PRKAB2	5565	NM_005399.5	CCDS925.1	PRINCIPAL:1	MANE Select
USP48	84196	NM_032236.8	CCDS30623.1	PRINCIPAL:4	MANE Select
GCLM	2730	NM_002061.4	CCDS746.1	PRINCIPAL:1	MANE Select
CD48	962	NM_001778.4	CCDS1208.1	PRINCIPAL:1	MANE Select
NOTCH2NLR	101929796	NM_001396072.1	-	PRINCIPAL:1	MANE Select
LAMTOR2	28956	NM_014017.4	CCDS1128.1	PRINCIPAL:1	MANE Select
NT5C1A	84618	NM_032526.3	CCDS440.1	PRINCIPAL:1	MANE Select
MINDY1	55793	NM_001376665.1	-	PRINCIPAL:4	MANE Select
PRAMEF2	65122	NM_023014.1	CCDS149.1	PRINCIPAL:1	MANE Select
CELA2A	63036	NM_033440.3	CCDS157.1	PRINCIPAL:1	MANE Select
OR2M2	391194	NM_001004688.2	CCDS31106.1	PRINCIPAL:1	MANE Select
DENND2C	163259	NM_001256404.2	CCDS58018.1	PRINCIPAL:2	MANE Select
CASQ2	845	NM_001232.4	CCDS884.1	PRINCIPAL:1	MANE Select
TNFRSF8	943	NM_001243.5	CCDS144.1	PRINCIPAL:2	MANE Select
RGS5	8490	NM_003617.4	CCDS1244.1	PRINCIPAL:2	MANE Select
SIKE1	80143	NM_025073.3	CCDS878.1	PRINCIPAL:1	MANE Select
NUDT4B	440672	NM_001355407.2	CCDS86013.1	PRINCIPAL:1	MANE Select
OR2T8	343172	NM_001005522.2	CCDS31100.1	PRINCIPAL:1	MANE Select
FOXJ3	22887	NM_014947.5	CCDS30689.1	PRINCIPAL:4	MANE Select
PRAMEF17	391004	NM_001099851.3	CCDS41264.1	PRINCIPAL:1	MANE Select
PRKCZ	5590	NM_002744.6	CCDS37.1	PRINCIPAL:1	MANE Select
LRRC8B	23507	NM_001369817.2	-	PRINCIPAL:1	MANE Select
TFAP2E	339488	NM_178548.4	CCDS393.2	PRINCIPAL:1	MANE Select
FCGR1A	2209	NM_000566.4	CCDS933.1	PRINCIPAL:2	MANE Select
UBE2T	29089	NM_014176.4	CCDS1425.1	PRINCIPAL:1	MANE Select
RNPC3	55599	NM_017619.4	CCDS781.1	PRINCIPAL:1	MANE Select
