Ensembl_id	Transcript_id	Gene_name	HGNC_name_e107
ENSG00000215915.5	ENST00000378785.2	ATAD3C	ATAD3C
ENSG00000160072.15	ENST00000308647.7	ATAD3B	ATAD3B
ENSG00000197785.9	ENST00000378756.3	ATAD3A	ATAD3A
ENSG00000205090.4	ENST00000378733.4	TMEM240	TMEM240
ENSG00000205090.4	ENST00000425828.1	TMEM240	TMEM240
ENSG00000160075.10	ENST00000291386.3	SSU72	SSU72
ENSG00000228594.1	ENST00000422725.1	C1orf233	FNDC10
ENSG00000189409.8	ENST00000356026.5	MMP23B	MMP23B
ENSG00000189339.7	ENST00000378662.1	SLC35E2B	SLC35E2B
ENSG00000189339.7	ENST00000234800.6	SLC35E2B	SLC35E2B
ENSG00000008128.18	ENST00000404249.3	CDK11A	CDK11A
ENSG00000008130.11	ENST00000341426.5	NADK	NADK
ENSG00000008130.11	ENST00000341991.3	NADK	NADK
ENSG00000078369.13	ENST00000378609.4	GNB1	GNB1
ENSG00000169885.5	ENST00000307786.3	CALML6	CALML6
ENSG00000178821.8	ENST00000310991.3	TMEM52	TMEM52
ENSG00000187730.6	ENST00000378585.4	GABRD	GABRD
ENSG00000067606.11	ENST00000378567.3	PRKCZ	PRKCZ
ENSG00000162585.12	ENST00000378546.4	C1orf86	FAAP20
ENSG00000157933.9	ENST00000378536.4	SKI	SKI
ENSG00000157916.14	ENST00000605895.1	RER1	RER1
ENSG00000157916.14	ENST00000488353.1	RER1	RER1
ENSG00000157911.5	ENST00000447513.2	PEX10	PEX10
ENSG00000149527.13	ENST00000419816.2	PLCH2	PLCH2
ENSG00000149527.13	ENST00000378486.3	PLCH2	PLCH2
ENSG00000157881.9	ENST00000378466.3	PANK4	PANK4
ENSG00000197921.5	ENST00000378453.3	HES5	HES5
ENSG00000157873.13	ENST00000355716.4	TNFRSF14	TNFRSF14
ENSG00000157870.10	ENST00000378425.5	FAM213B	PRXL2B
ENSG00000142606.11	ENST00000378412.3	MMEL1	MMEL1
ENSG00000169717.5	ENST00000378404.2	ACTRT2	ACTRT2
ENSG00000142611.12	ENST00000270722.5	PRDM16	PRDM16
ENSG00000130762.10	ENST00000378378.4	ARHGEF16	ARHGEF16
ENSG00000162591.11	ENST00000356575.4	MEGF6	MEGF6
ENSG00000158109.10	ENST00000378344.2	TPRG1L	TPRG1L
ENSG00000116213.11	ENST00000270708.7	WRAP73	WRAP73
ENSG00000078900.10	ENST00000378295.4	TP73	TP73
ENSG00000162592.4	ENST00000294600.2	CCDC27	CCDC27
ENSG00000235169.3	ENST00000444870.2	SMIM1	SMIM1
ENSG00000130764.5	ENST00000378251.1	LRRC47	LRRC47
ENSG00000116198.8	ENST00000378230.3	CEP104	CEP104
ENSG00000169598.11	ENST00000378209.3	DFFB	DFFB
ENSG00000198912.6	ENST00000361605.3	C1orf174	C1orf174
ENSG00000196581.6	ENST00000378190.3	AJAP1	AJAP1
ENSG00000196581.6	ENST00000378191.4	AJAP1	AJAP1
ENSG00000131697.13	ENST00000378156.4	NPHP4	NPHP4
ENSG00000116254.13	ENST00000262450.3	CHD5	CHD5
ENSG00000116251.5	ENST00000234875.4	RPL22	RPL22
ENSG00000158286.8	ENST00000377939.4	RNF207	RNF207
ENSG00000116237.11	ENST00000343813.5	ICMT	ICMT
ENSG00000173673.7	ENST00000377898.3	HES3	HES3
ENSG00000158292.6	ENST00000377893.2	GPR153	GPR153
ENSG00000069812.7	ENST00000377834.4	HES2	HES2
ENSG00000187017.10	ENST00000377828.1	ESPN	ESPN
ENSG00000215788.5	ENST00000356876.3	TNFRSF25	TNFRSF25
ENSG00000171680.16	ENST00000340850.5	PLEKHG5	PLEKHG5
ENSG00000171680.16	ENST00000400913.1	PLEKHG5	PLEKHG5
ENSG00000171680.16	ENST00000377728.3	PLEKHG5	PLEKHG5
ENSG00000171680.16	ENST00000377737.2	PLEKHG5	PLEKHG5
ENSG00000162408.10	ENST00000377705.5	NOL9	NOL9
ENSG00000173662.15	ENST00000333172.6	TAS1R1	TAS1R1
ENSG00000204859.7	ENST00000377674.4	ZBTB48	ZBTB48
ENSG00000162413.12	ENST00000377658.4	KLHL21	KLHL21
ENSG00000116273.5	ENST00000377648.4	PHF13	PHF13
ENSG00000041988.11	ENST00000054650.4	THAP3	THAP3
ENSG00000007923.11	ENST00000377577.5	DNAJC11	DNAJC11
ENSG00000171735.14	ENST00000303635.7	CAMTA1	CAMTA1
ENSG00000049245.8	ENST00000054666.6	VAMP3	VAMP3
ENSG00000049247.9	ENST00000361696.5	UTS2	UTS2
ENSG00000049249.4	ENST00000377507.3	TNFRSF9	TNFRSF9
ENSG00000116288.8	ENST00000493373.1	PARK7	PARK7
ENSG00000116288.8	ENST00000338639.5	PARK7	PARK7
ENSG00000116288.8	ENST00000493678.1	PARK7	PARK7
ENSG00000116288.8	ENST00000377491.1	PARK7	PARK7
ENSG00000116288.8	ENST00000377488.1	PARK7	PARK7
ENSG00000116285.8	ENST00000377482.5	ERRFI1	ERRFI1
ENSG00000162426.10	ENST00000471889.1	SLC45A1	SLC45A1
ENSG00000162426.10	ENST00000289877.8	SLC45A1	SLC45A1
ENSG00000142599.13	ENST00000337907.3	RERE	RERE
ENSG00000142599.13	ENST00000400908.2	RERE	RERE
ENSG00000074800.9	ENST00000234590.4	ENO1	ENO1
ENSG00000131686.10	ENST00000377443.2	CA6	CA6
ENSG00000197241.3	ENST00000400906.1	SLC2A7	SLC2A7
ENSG00000142583.13	ENST00000377424.4	SLC2A5	SLC2A5
ENSG00000180758.10	ENST00000377411.4	GPR157	GPR157
ENSG00000049239.8	ENST00000377403.2	H6PD	H6PD
ENSG00000171621.9	ENST00000328089.6	SPSB1	SPSB1
ENSG00000171621.9	ENST00000357898.3	SPSB1	SPSB1
ENSG00000171621.9	ENST00000377399.2	SPSB1	SPSB1
ENSG00000171612.6	ENST00000302692.6	SLC25A33	SLC25A33
ENSG00000188807.8	ENST00000340381.6	TMEM201	TMEM201
ENSG00000171608.11	ENST00000377346.4	PIK3CD	PIK3CD
ENSG00000171603.12	ENST00000377298.4	CLSTN1	CLSTN1
ENSG00000178585.10	ENST00000377263.1	CTNNBIP1	CTNNBIP1
ENSG00000178585.10	ENST00000537447.1	CTNNBIP1	CTNNBIP1
ENSG00000178585.10	ENST00000400904.3	CTNNBIP1	CTNNBIP1
ENSG00000178585.10	ENST00000377258.1	CTNNBIP1	CTNNBIP1
ENSG00000178585.10	ENST00000377256.1	CTNNBIP1	CTNNBIP1
ENSG00000162441.7	ENST00000377223.1	LZIC	LZIC
ENSG00000162441.7	ENST00000400903.2	LZIC	LZIC
ENSG00000162441.7	ENST00000377213.1	LZIC	LZIC
ENSG00000173614.9	ENST00000377205.1	NMNAT1	NMNAT1
ENSG00000173614.9	ENST00000462686.1	NMNAT1	NMNAT1
ENSG00000162444.11	ENST00000294435.7	RBP7	RBP7
ENSG00000054523.12	ENST00000377086.1	KIF1B	KIF1B
ENSG00000142657.16	ENST00000270776.8	PGD	PGD
ENSG00000175279.17	ENST00000309048.3	APITD1	CENPS
ENSG00000241563.2	ENST00000377049.3	CORT	CORT
ENSG00000160049.7	ENST00000377038.3	DFFA	DFFA
ENSG00000142655.8	ENST00000356607.4	PEX14	PEX14
ENSG00000130940.10	ENST00000377022.3	CASZ1	CASZ1
ENSG00000175262.10	ENST00000377004.4	C1orf127	C1orf127
ENSG00000120948.11	ENST00000240185.3	TARDBP	TARDBP
ENSG00000009724.12	ENST00000400897.3	MASP2	MASP2
ENSG00000116649.5	ENST00000376957.2	SRM	SRM
ENSG00000171824.9	ENST00000376936.4	EXOSC10	EXOSC10
ENSG00000198793.8	ENST00000361445.4	MTOR	MTOR
ENSG00000171819.4	ENST00000376819.3	ANGPTL7	ANGPTL7
ENSG00000120942.9	ENST00000376810.5	UBIAD1	UBIAD1
ENSG00000204624.6	ENST00000294484.6	PTCHD2	DISP3
ENSG00000116661.9	ENST00000354287.4	FBXO2	FBXO2
ENSG00000132879.9	ENST00000376770.1	FBXO44	FBXO44
ENSG00000132879.9	ENST00000251547.5	FBXO44	FBXO44
ENSG00000116663.6	ENST00000376753.4	FBXO6	FBXO6
ENSG00000116670.10	ENST00000235310.3	MAD2L2	MAD2L2
ENSG00000116670.10	ENST00000376692.4	MAD2L2	MAD2L2
ENSG00000116670.10	ENST00000376667.3	MAD2L2	MAD2L2
ENSG00000162490.6	ENST00000294485.5	DRAXIN	DRAXIN
ENSG00000177674.11	ENST00000314340.5	AGTRAP	AGTRAP
ENSG00000011021.17	ENST00000346436.6	CLCN6	CLCN6
ENSG00000175206.6	ENST00000376480.3	NPPA	NPPA
ENSG00000120937.8	ENST00000376468.3	NPPB	NPPB
ENSG00000116685.11	ENST00000376572.3	KIAA2013	KIAA2013
ENSG00000083444.12	ENST00000196061.4	PLOD1	PLOD1
ENSG00000116688.12	ENST00000444836.1	MFN2	MFN2
ENSG00000116688.12	ENST00000235329.5	MFN2	MFN2
ENSG00000116691.6	ENST00000235332.4	MIIP	MIIP
ENSG00000028137.12	ENST00000376259.3	TNFRSF1B	TNFRSF1B
ENSG00000162496.4	ENST00000376223.2	DHRS3	DHRS3
ENSG00000204518.2	ENST00000376221.1	AADACL4	AADACL4
ENSG00000179172.7	ENST00000317869.6	HNRNPCL1	HNRNPCL1
ENSG00000120952.4	ENST00000240189.2	PRAMEF2	PRAMEF2
ENSG00000232423.3	ENST00000376189.1	PRAMEF6	PRAMEF6
ENSG00000232423.3	ENST00000415464.2	PRAMEF6	PRAMEF6
ENSG00000232423.3	ENST00000355096.2	PRAMEF6	PRAMEF6
ENSG00000204501.2	ENST00000376152.1	PRAMEF9	PRAMEF15
ENSG00000157358.7	ENST00000330087.5	PRAMEF15	PRAMEF15
ENSG00000204481.6	ENST00000334600.6	PRAMEF14	PRAMEF14
ENSG00000204479.4	ENST00000376098.4	PRAMEF17	PRAMEF17
ENSG00000162494.5	ENST00000376085.3	LRRC38	LRRC38
ENSG00000116731.18	ENST00000235372.7	PRDM2	PRDM2
ENSG00000189337.11	ENST00000376030.2	KAZN	KAZN
ENSG00000171729.9	ENST00000428417.1	TMEM51	TMEM51
ENSG00000171729.9	ENST00000376014.3	TMEM51	TMEM51
ENSG00000171729.9	ENST00000400796.3	TMEM51	TMEM51
ENSG00000171729.9	ENST00000376008.2	TMEM51	TMEM51
ENSG00000142634.8	ENST00000375980.4	EFHD2	EFHD2
ENSG00000162438.7	ENST00000375949.4	CTRC	CTRC
ENSG00000142615.7	ENST00000359621.4	CELA2A	CELA2A
ENSG00000215704.5	ENST00000375910.3	CELA2B	CELA2B
ENSG00000132906.13	ENST00000333868.5	CASP9	CASP9
ENSG00000116138.8	ENST00000375847.3	DNAJC16	DNAJC16
ENSG00000116771.5	ENST00000375826.3	AGMAT	AGMAT
ENSG00000197312.7	ENST00000480945.1	DDI2	DDI2
ENSG00000215695.1	ENST00000345034.1	RSC1A1	RSC1A1
ENSG00000116786.7	ENST00000375799.3	PLEKHM2	PLEKHM2
ENSG00000162461.7	ENST00000294454.5	SLC25A34	SLC25A34
ENSG00000162460.6	ENST00000375782.1	TMEM82	TMEM82
ENSG00000162458.8	ENST00000375771.1	FBLIM1	FBLIM1
ENSG00000162458.8	ENST00000375766.3	FBLIM1	FBLIM1
ENSG00000065526.6	ENST00000375759.3	SPEN	SPEN
ENSG00000116809.7	ENST00000375743.4	ZBTB17	ZBTB17
ENSG00000183888.4	ENST00000329454.2	C1orf64	SRARP
ENSG00000173641.13	ENST00000311890.9	HSPB7	HSPB7
ENSG00000186510.7	ENST00000331433.4	CLCNKA	CLCNKA
ENSG00000184908.13	ENST00000375679.4	CLCNKB	CLCNKB
ENSG00000185519.8	ENST00000375662.4	FAM131C	FAM131C
ENSG00000142627.9	ENST00000358432.5	EPHA2	EPHA2
ENSG00000142632.12	ENST00000270747.3	ARHGEF19	ARHGEF19
ENSG00000132881.7	ENST00000375599.3	RSG1	CPLANE2
ENSG00000037637.6	ENST00000375592.3	FBXO42	FBXO42
ENSG00000055070.12	ENST00000401088.4	SZRD1	SZRD1
ENSG00000157191.15	ENST00000337132.5	NECAP2	NECAP2
ENSG00000157191.15	ENST00000406746.1	NECAP2	NECAP2
ENSG00000157191.15	ENST00000492095.1	NECAP2	NECAP2
ENSG00000117122.9	ENST00000375535.3	MFAP2	MFAP2
ENSG00000117118.5	ENST00000375499.3	SDHB	SDHB
ENSG00000117115.8	ENST00000375486.4	PADI2	PADI2
ENSG00000142623.8	ENST00000375471.4	PADI1	PADI1
ENSG00000142619.4	ENST00000375460.3	PADI3	PADI3
ENSG00000159339.9	ENST00000375448.4	PADI4	PADI4
ENSG00000179051.9	ENST00000375436.4	RCC2	RCC2
ENSG00000179051.9	ENST00000375433.3	RCC2	RCC2
ENSG00000117148.6	ENST00000375406.1	ACTL8	ACTL8
ENSG00000117154.7	ENST00000251296.1	IGSF21	IGSF21
ENSG00000179023.7	ENST00000400664.1	KLHDC7A	KLHDC7A
ENSG00000009709.7	ENST00000420770.2	PAX7	PAX7
ENSG00000179002.5	ENST00000375371.3	TAS1R2	TAS1R2
ENSG00000159423.12	ENST00000290597.5	ALDH4A1	ALDH4A1
ENSG00000159423.12	ENST00000375341.3	ALDH4A1	ALDH4A1
ENSG00000169991.6	ENST00000455833.2	IFFO2	IFFO2
ENSG00000127481.10	ENST00000375254.3	UBR4	UBR4
ENSG00000127463.9	ENST00000477853.1	EMC1	EMC1
ENSG00000053372.4	ENST00000330263.4	MRTO4	MRTO4
ENSG00000162482.4	ENST00000361640.4	AKR7A3	AKR7A3
ENSG00000053371.8	ENST00000235835.3	AKR7A2	AKR7A2
ENSG00000040487.8	ENST00000375155.3	PQLC2	SLC66A1
ENSG00000040487.8	ENST00000375153.3	PQLC2	SLC66A1
ENSG00000077549.13	ENST00000401084.2	CAPZB	CAPZB
ENSG00000173436.9	ENST00000322753.6	MINOS1	MICOS10
ENSG00000158747.9	ENST00000375136.3	NBL1	NBL1
ENSG00000158748.3	ENST00000289753.1	HTR6	HTR6
ENSG00000162542.9	ENST00000294543.6	TMCO4	TMCO4
ENSG00000178828.5	ENST00000375121.2	RNF186	RNF186
ENSG00000169914.5	ENST00000375120.3	OTUD3	OTUD3
ENSG00000188784.4	ENST00000375116.3	PLA2G2E	PLA2G2E
ENSG00000188257.6	ENST00000400520.3	PLA2G2A	PLA2G2A
ENSG00000188257.6	ENST00000375111.3	PLA2G2A	PLA2G2A
ENSG00000127472.6	ENST00000375108.3	PLA2G5	PLA2G5
ENSG00000117215.10	ENST00000375105.3	PLA2G2D	PLA2G2D
ENSG00000158786.4	ENST00000375102.3	PLA2G2F	PLA2G2F
ENSG00000187980.6	ENST00000429261.2	PLA2G2C	PLA2G2C
ENSG00000162543.5	ENST00000375099.3	UBXN10	UBXN10
ENSG00000162545.5	ENST00000375078.3	CAMK2N1	CAMK2N1
ENSG00000090432.5	ENST00000264198.3	MUL1	MUL1
ENSG00000183114.6	ENST00000332947.4	FAM43B	FAM43B
ENSG00000158825.5	ENST00000375071.3	CDA	CDA
ENSG00000158828.5	ENST00000321556.4	PINK1	PINK1
ENSG00000244038.5	ENST00000602624.2	DDOST	DDOST
ENSG00000189410.7	ENST00000444387.2	SH2D5	SH2D5
ENSG00000127483.13	ENST00000312239.5	HP1BP3	HP1BP3
ENSG00000142794.14	ENST00000318249.5	NBPF3	NBPF3
ENSG00000162551.9	ENST00000374840.3	ALPL	ALPL
ENSG00000162551.9	ENST00000374832.1	ALPL	ALPL
ENSG00000162551.9	ENST00000425315.2	ALPL	ALPL
ENSG00000090686.11	ENST00000308271.9	USP48	USP48
ENSG00000187942.7	ENST00000344642.2	LDLRAD2	LDLRAD2
ENSG00000187942.7	ENST00000543870.1	LDLRAD2	LDLRAD2
ENSG00000142798.12	ENST00000374695.3	HSPG2	HSPG2
ENSG00000219073.3	ENST00000337107.6	CELA3B	CELA3B
ENSG00000142789.15	ENST00000290122.3	CELA3A	CELA3A
ENSG00000070831.11	ENST00000400259.1	CDC42	CDC42
ENSG00000070831.11	ENST00000344548.3	CDC42	CDC42
ENSG00000162552.10	ENST00000290167.6	WNT4	WNT4
ENSG00000184677.12	ENST00000404138.1	ZBTB40	ZBTB40
ENSG00000184677.12	ENST00000375647.4	ZBTB40	ZBTB40
ENSG00000070886.6	ENST00000166244.3	EPHA8	EPHA8
ENSG00000173372.12	ENST00000374642.3	C1QA	C1QA
ENSG00000173372.12	ENST00000402322.1	C1QA	C1QA
ENSG00000159189.7	ENST00000374640.4	C1QC	C1QC
ENSG00000159189.7	ENST00000374639.3	C1QC	C1QC
ENSG00000159189.7	ENST00000374637.1	C1QC	C1QC
ENSG00000173369.11	ENST00000509305.1	C1QB	C1QB
ENSG00000179546.3	ENST00000314113.3	HTR1D	HTR1D
ENSG00000179546.3	ENST00000374619.1	HTR1D	HTR1D
ENSG00000125944.14	ENST00000374612.1	HNRNPR	HNRNPR
ENSG00000125944.14	ENST00000302271.6	HNRNPR	HNRNPR
ENSG00000125945.10	ENST00000314011.4	ZNF436	ZNF436
ENSG00000125945.10	ENST00000374608.3	ZNF436	ZNF436
ENSG00000204219.5	ENST00000450454.2	TCEA3	TCEA3
ENSG00000088280.14	ENST00000336689.3	ASAP3	ASAP3
ENSG00000007968.6	ENST00000361729.2	E2F2	E2F2
ENSG00000117318.8	ENST00000374561.5	ID3	ID3
ENSG00000142676.8	ENST00000374550.3	RPL11	RPL11
ENSG00000011007.8	ENST00000609199.1	TCEB3	ELOA
ENSG00000057757.5	ENST00000246151.4	PITHD1	PITHD1
ENSG00000011009.6	ENST00000374514.3	LYPLA2	LYPLA2
ENSG00000117308.10	ENST00000374497.3	GALE	GALE
ENSG00000117305.10	ENST00000374490.3	HMGCL	HMGCL
ENSG00000179163.11	ENST00000374479.3	FUCA1	FUCA1
ENSG00000188822.6	ENST00000374472.4	CNR2	CNR2
ENSG00000188822.6	ENST00000536471.1	CNR2	CNR2
ENSG00000189266.7	ENST00000334351.7	PNRC2	PNRC2
ENSG00000189266.7	ENST00000374468.1	PNRC2	PNRC2
ENSG00000188529.10	ENST00000492112.2	SRSF10	SRSF10
ENSG00000142661.14	ENST00000374434.3	MYOM3	MYOM3
ENSG00000142677.3	ENST00000270800.1	IL22RA1	IL22RA1
ENSG00000185436.7	ENST00000327535.1	IFNLR1	IFNLR1
ENSG00000158055.11	ENST00000361548.4	GRHL3	GRHL3
ENSG00000001460.13	ENST00000374409.1	STPG1	STPG1
ENSG00000001460.13	ENST00000337248.4	STPG1	STPG1
ENSG00000001461.12	ENST00000374399.4	NIPAL3	NIPAL3
ENSG00000117602.7	ENST00000374395.4	RCAN3	RCAN3
ENSG00000184454.6	ENST00000374392.2	NCMAP	NCMAP
ENSG00000133226.12	ENST00000323848.9	SRRM1	SRRM1
ENSG00000169504.10	ENST00000374379.4	CLIC4	CLIC4
ENSG00000169504.10	ENST00000488683.1	CLIC4	CLIC4
ENSG00000117614.5	ENST00000236273.4	SYF2	SYF2
ENSG00000117616.13	ENST00000243189.7	C1orf63	RSRP1
ENSG00000187010.14	ENST00000328664.4	RHD	RHD
ENSG00000183726.6	ENST00000374358.4	TMEM50A	TMEM50A
ENSG00000188672.12	ENST00000294413.7	RHCE	RHCE
ENSG00000204178.5	ENST00000374343.4	TMEM57	MACO1
ENSG00000157978.7	ENST00000374338.4	LDLRAP1	LDLRAP1
ENSG00000117643.10	ENST00000374332.4	MAN1C1	MAN1C1
ENSG00000117640.13	ENST00000374303.2	MTFR1L	MTFR1L
ENSG00000117640.13	ENST00000374301.3	MTFR1L	MTFR1L
ENSG00000117640.13	ENST00000374300.3	MTFR1L	MTFR1L
ENSG00000127423.6	ENST00000374298.3	AUNIP	AUNIP
ENSG00000182749.5	ENST00000374296.3	PAQR7	PAQR7
ENSG00000117632.16	ENST00000455785.2	STMN1	STMN1
ENSG00000117632.16	ENST00000399728.1	STMN1	STMN1
ENSG00000117632.16	ENST00000357865.2	STMN1	STMN1
ENSG00000117632.16	ENST00000374291.1	STMN1	STMN1
ENSG00000158006.9	ENST00000374282.3	PAFAH2	PAFAH2
ENSG00000158006.9	ENST00000374284.1	PAFAH2	PAFAH2
ENSG00000158008.5	ENST00000374280.3	EXTL1	EXTL1
ENSG00000158014.10	ENST00000374276.3	SLC30A2	SLC30A2
ENSG00000158022.6	ENST00000374272.3	TRIM63	TRIM63
ENSG00000175087.5	ENST00000374271.4	PDIK1L	PDIK1L
ENSG00000175087.5	ENST00000374269.1	PDIK1L	PDIK1L
ENSG00000197245.4	ENST00000374268.3	FAM110D	FAM110D
ENSG00000142684.7	ENST00000374266.5	ZNF593	ZNF593
ENSG00000142675.13	ENST00000361530.6	CNKSR1	CNKSR1
ENSG00000188782.3	ENST00000456354.2	CATSPER4	CATSPER4
ENSG00000142669.9	ENST00000270792.5	SH3BGRL3	SH3BGRL3
ENSG00000169442.4	ENST00000374213.2	CD52	CD52
ENSG00000131914.6	ENST00000326279.6	LIN28A	LIN28A
ENSG00000131914.6	ENST00000254231.4	LIN28A	LIN28A
ENSG00000117682.12	ENST00000236342.7	DHDDS	DHDDS
ENSG00000198830.6	ENST00000361427.5	HMGN2	HMGN2
ENSG00000117676.9	ENST00000374168.2	RPS6KA1	RPS6KA1
ENSG00000117713.13	ENST00000324856.7	ARID1A	ARID1A
ENSG00000060642.6	ENST00000078527.4	PIGV	PIGV
ENSG00000060642.6	ENST00000374145.1	PIGV	PIGV
ENSG00000204160.7	ENST00000374142.4	ZDHHC18	ZDHHC18
ENSG00000175793.10	ENST00000339276.4	SFN	SFN
ENSG00000142751.10	ENST00000374135.4	GPN2	GPN2
ENSG00000198746.8	ENST00000361720.5	GPATCH3	GPATCH3
ENSG00000090273.9	ENST00000321265.5	NUDC	NUDC
ENSG00000131910.4	ENST00000254227.3	NR0B2	NR0B2
ENSG00000175707.7	ENST00000320567.5	C1orf172	KDF1
ENSG00000253368.3	ENST00000522111.2	TRNP1	TRNP1
ENSG00000158246.7	ENST00000289166.5	FAM46B	TENT5B
ENSG00000090020.6	ENST00000263980.3	SLC9A1	SLC9A1
ENSG00000142784.11	ENST00000319394.3	WDTC1	WDTC1
ENSG00000186501.10	ENST00000374076.4	TMEM222	TMEM222
ENSG00000142765.13	ENST00000543823.1	SYTL1	SYTL1
ENSG00000142748.8	ENST00000270879.4	FCN3	FCN3
ENSG00000181773.6	ENST00000374024.3	GPR3	GPR3
ENSG00000158195.6	ENST00000430629.2	WASF2	WASF2
ENSG00000126705.9	ENST00000247087.5	AHDC1	AHDC1
ENSG00000126705.9	ENST00000374011.2	AHDC1	AHDC1
ENSG00000000938.8	ENST00000374005.3	FGR	FGR
ENSG00000000938.8	ENST00000399173.1	FGR	FGR
ENSG00000000938.8	ENST00000374004.1	FGR	FGR
ENSG00000000938.8	ENST00000374003.3	FGR	FGR
ENSG00000009780.11	ENST00000373954.6	FAM76A	FAM76A
ENSG00000117758.9	ENST00000373943.4	STX12	STX12
ENSG00000117751.13	ENST00000311772.5	PPP1R8	PPP1R8
ENSG00000130775.11	ENST00000373921.3	THEMIS2	THEMIS2
ENSG00000117748.5	ENST00000373912.3	RPA2	RPA2
ENSG00000130768.10	ENST00000373894.3	SMPDL3B	SMPDL3B
ENSG00000158156.7	ENST00000373884.5	XKR8	XKR8
ENSG00000158161.11	ENST00000373871.3	EYA3	EYA3
ENSG00000169403.7	ENST00000373857.3	PTAFR	PTAFR
ENSG00000169403.7	ENST00000539896.1	PTAFR	PTAFR
ENSG00000169403.7	ENST00000305392.3	PTAFR	PTAFR
ENSG00000126698.6	ENST00000263697.4	DNAJC8	DNAJC8
ENSG00000130770.13	ENST00000335514.5	ATPIF1	ATP5IF1
ENSG00000130766.4	ENST00000253063.3	SESN2	SESN2
ENSG00000130772.9	ENST00000373842.4	MED18	MED18
ENSG00000130772.9	ENST00000398997.2	MED18	MED18
ENSG00000204138.8	ENST00000373839.3	PHACTR4	PHACTR4
ENSG00000180198.11	ENST00000398958.2	RCC1	RCC1
ENSG00000180198.11	ENST00000373833.6	RCC1	RCC1
ENSG00000180198.11	ENST00000373832.1	RCC1	RCC1
ENSG00000180098.5	ENST00000373830.3	TRNAU1AP	TRNAU1AP
ENSG00000120656.7	ENST00000373824.4	TAF12	TAF12
ENSG00000120656.7	ENST00000263974.4	TAF12	TAF12
ENSG00000162419.8	ENST00000373816.1	GMEB1	GMEB1
ENSG00000162419.8	ENST00000361872.4	GMEB1	GMEB1
ENSG00000198492.10	ENST00000542507.1	YTHDF2	YTHDF2
ENSG00000198492.10	ENST00000373812.3	YTHDF2	YTHDF2
ENSG00000116329.6	ENST00000234961.2	OPRD1	OPRD1
ENSG00000253304.1	ENST00000521452.1	TMEM200B	TMEM200B
ENSG00000253304.1	ENST00000420504.2	TMEM200B	TMEM200B
ENSG00000116350.11	ENST00000373795.4	SRSF4	SRSF4
ENSG00000116353.11	ENST00000263702.6	MECR	MECR
ENSG00000162510.5	ENST00000373765.4	MATN1	MATN1
ENSG00000162511.7	ENST00000294507.3	LAPTM5	LAPTM5
ENSG00000162512.11	ENST00000339394.6	SDC3	SDC3
ENSG00000134644.11	ENST00000426105.2	PUM1	PUM1
ENSG00000084628.5	ENST00000373736.2	NKAIN1	NKAIN1
ENSG00000060688.8	ENST00000263694.4	SNRNP40	SNRNP40
ENSG00000121766.10	ENST00000344147.5	ZCCHC17	ZCCHC17
