RefSeq_id	Gene_name	Protein_id	Transcript_id	CCDS	HGNC_name_e107
643965	TMEM88B	NP_001140157.1	NM_001146685	CCDS57964.1	TMEM88B
64856	VWA1	NP_073745.2	NM_022834	CCDS27.1	VWA1
219293	ATAD3C	NP_001034300.2	NM_001039211	CCDS44039.1	ATAD3C
83858	ATAD3B	NP_114127.3	NM_031921	CCDS30.1	ATAD3B
55210	ATAD3A	NP_001164006.1	NM_001170535	CCDS53259.1	ATAD3A
339453	TMEM240	NP_001108220.1	NM_001114748	CCDS44040.1	TMEM240
29101	SSU72	NP_054907.1	NM_014188	CCDS32.1	SSU72
643988	C1orf233	NP_001229588.1	NM_001242659	CCDS55559.1	FNDC10
8510	MMP23B	NP_008914.1	NM_006983	CCDS30559.1	MMP23B
728661	SLC35E2B	NP_001104251.1	NM_001110781	CCDS44041.1	SLC35E2B
728661	SLC35E2B	XP_005244848.1	PRJNA168;XM_005244791	-	SLC35E2B
728642	CDK11A	NP_076916.2	NM_024011	CCDS44042.1	CDK11A
65220	NADK	NP_075394.3	NM_023018	CCDS30565.1	NADK
65220	NADK	NP_001185922.1	NM_001198993	CCDS30565.1	NADK
65220	NADK	XP_005244835.1	PRJNA168;XM_005244778	-	NADK
2782	GNB1	NP_002065.1	NM_002074	CCDS34.1	GNB1
2782	GNB1	XP_005244798.1	PRJNA168;XM_005244741	-	GNB1
2782	GNB1	XP_005244799.1	PRJNA168;XM_005244742	-	GNB1
163688	CALML6	NP_619650.2	NM_138705	CCDS30566.1	CALML6
339456	TMEM52	NP_848640.1	NM_178545	CCDS35.1	TMEM52
85452	KIAA1751	XP_005244868.1	PRJNA168;XM_005244811	-	CFAP74
2563	GABRD	NP_000806.2	NM_000815	CCDS36.1	GABRD
5590	PRKCZ	NP_002735.3	NM_002744	CCDS37.1	PRKCZ
6497	SKI	NP_003027.1	NM_003036	CCDS39.1	SKI
11079	RER1	NP_008964.3	NM_007033	CCDS41232.1	RER1
11079	RER1	XP_005244769.1	PRJNA168;XM_005244712	-	RER1
11079	RER1	XP_005244770.1	PRJNA168;XM_005244713	-	RER1
5192	PEX10	NP_002608.1	NM_002617	CCDS44045.1	PEX10
9651	PLCH2	NP_055453.2	NM_014638	-	PLCH2
55229	PANK4	NP_060686.1	NM_018216	CCDS42.1	PANK4
388585	HES5	NP_001010926.1	NM_001010926	CCDS41233.1	HES5
8764	TNFRSF14	NP_003811.2	NM_003820	CCDS44046.1	TNFRSF14
79258	MMEL1	NP_258428.2	NM_033467	CCDS30569.2	MMEL1
140625	ACTRT2	NP_536356.3	NM_080431	CCDS45.1	ACTRT2
63976	PRDM16	NP_071397.3	NM_022114	CCDS41236.2	PRDM16
27237	ARHGEF16	NP_055263.2	NM_014448	CCDS46.2	ARHGEF16
1953	MEGF6	NP_001400.3	NM_001409	CCDS41237.1	MEGF6
127262	TPRG1L	NP_877429.2	NM_182752	CCDS47.1	TPRG1L
49856	WRAP73	NP_060288.3	NM_017818	CCDS48.1	WRAP73
7161	TP73	NP_005418.1	NM_005427	CCDS49.1	TP73
148870	CCDC27	NP_689705.2	NM_152492	CCDS50.1	CCDC27
388588	SMIM1	NP_001157196.1	NM_001163724	CCDS57966.1	SMIM1
57470	LRRC47	NP_065761.1	NM_020710	CCDS51.1	LRRC47
9731	CEP104	NP_055519.1	NM_014704	CCDS30571.1	CEP104
1677	DFFB	NP_004393.1	NM_004402	CCDS52.1	DFFB
339448	C1orf174	NP_997239.2	NM_207356	CCDS53.1	C1orf174
55966	AJAP1	NP_001035943.1	NM_001042478	CCDS54.1	AJAP1
55966	AJAP1	NP_061324.1	NM_018836	CCDS54.1	AJAP1
261734	NPHP4	NP_055917.1	NM_015102	CCDS44052.1	NPHP4
26038	CHD5	NP_056372.1	NM_015557	CCDS57.1	CHD5
6146	RPL22	NP_000974.1	NM_000983	CCDS58.1	RPL22
388591	RNF207	NP_997279.2	NM_207396	CCDS59.2	RNF207
23463	ICMT	NP_036537.1	NM_012405	CCDS61.1	ICMT
23463	ICMT	XP_005263494.1	PRJNA168;XM_005263437	-	ICMT
390992	HES3	NP_001019769.1	NM_001024598	CCDS41238.1	HES3
387509	GPR153	NP_997253.2	NM_207370	CCDS64.1	GPR153
54626	HES2	NP_061962.2	NM_019089	CCDS30574.1	HES2
54626	HES2	XP_005263535.1	PRJNA168;XM_005263478	-	HES2
83715	ESPN	NP_113663.2	NM_031475	CCDS70.1	ESPN
8718	TNFRSF25	NP_003781.1	NM_003790	CCDS71.1	TNFRSF25
57449	PLEKHG5	NP_001036129.1	NM_001042664	CCDS79.1	PLEKHG5
57449	PLEKHG5	NP_001036130.1	NM_001042665	CCDS79.1	PLEKHG5
57449	PLEKHG5	NP_065682.2	NM_020631	CCDS79.1	PLEKHG5
80835	TAS1R1	NP_619642.2	NM_138697	CCDS81.1	TAS1R1
3104	ZBTB48	NP_001265576.1	NM_001278647	-	ZBTB48
3104	ZBTB48	NP_005332.1	NM_005341	CCDS84.1	ZBTB48
3104	ZBTB48	NP_001265577.1	NM_001278648	-	ZBTB48
9903	KLHL21	NP_055666.2	NM_014851	CCDS30575.1	KLHL21
148479	PHF13	NP_722519.2	NM_153812	CCDS85.1	PHF13
90326	THAP3	NP_001182682.1	NM_001195753	CCDS55572.1	THAP3
55735	DNAJC11	NP_060668.2	NM_018198	CCDS87.1	DNAJC11
23261	CAMTA1	NP_056030.1	NM_015215	CCDS30576.1	CAMTA1
9341	VAMP3	NP_004772.1	NM_004781	CCDS88.1	VAMP3
10911	UTS2	NP_006777.1	NM_006786	CCDS91.1	UTS2
3604	TNFRSF9	NP_001552.2	NM_001561	CCDS92.1	TNFRSF9
11315	PARK7	NP_009193.2	NM_007262	CCDS93.1	PARK7
11315	PARK7	NP_001116849.1	NM_001123377	CCDS93.1	PARK7
11315	PARK7	XP_005263481.1	PRJNA168;XM_005263424	-	PARK7
54206	ERRFI1	NP_061821.1	NM_018948	CCDS94.1	ERRFI1
50651	SLC45A1	NP_001073866.1	NM_001080397	CCDS30577.1	SLC45A1
50651	SLC45A1	XP_005263524.1	PRJNA168;XM_005263467	-	SLC45A1
473	RERE	NP_036234.3	NM_012102	CCDS95.1	RERE
473	RERE	NP_001036146.1	NM_001042681	CCDS95.1	RERE
473	RERE	XP_005263521.1	PRJNA168;XM_005263464	-	RERE
2023	ENO1	NP_001419.1	NM_001428	CCDS97.1	ENO1
765	CA6	NP_001206.2	NM_001215	CCDS30578.1	CA6
155184	SLC2A7	NP_997303.2	NM_207420	CCDS98.2	SLC2A7
6518	SLC2A5	NP_003030.1	NM_003039	CCDS99.1	SLC2A5
6518	SLC2A5	XP_005263548.1	PRJNA168;XM_005263491	-	SLC2A5
80045	GPR157	NP_079256.4	NM_024980	CCDS100.2	GPR157
9563	H6PD	NP_004276.2	NM_004285	CCDS101.1	H6PD
80176	SPSB1	NP_079382.2	NM_025106	CCDS102.1	SPSB1
80176	SPSB1	XP_005263556.1	PRJNA168;XM_005263499	-	SPSB1
84275	SLC25A33	NP_115691.1	NM_032315	CCDS103.1	SLC25A33
199953	TMEM201	NP_001124396.2	NM_001130924	CCDS44055.2	TMEM201
5293	PIK3CD	NP_005017.3	NM_005026	CCDS104.1	PIK3CD
22883	CLSTN1	NP_001009566.1	NM_001009566	CCDS30580.1	CLSTN1
56998	CTNNBIP1	NP_064633.1	NM_020248	CCDS106.1	CTNNBIP1
56998	CTNNBIP1	NP_001012329.1	NM_001012329	CCDS106.1	CTNNBIP1
84328	LZIC	NP_115744.2	NM_032368	CCDS107.1	LZIC
84328	LZIC	XP_005263564.1	PRJNA168;XM_005263507	-	LZIC
84328	LZIC	XP_005263565.1	PRJNA168;XM_005263508	-	LZIC
64802	NMNAT1	NP_073624.2	NM_022787	CCDS108.1	NMNAT1
116362	RBP7	NP_443192.1	NM_052960	CCDS109.1	RBP7
23095	KIF1B	XP_005263490.1	PRJNA168;XM_005263433	-	KIF1B
5226	PGD	NP_002622.2	NM_002631	CCDS113.1	PGD
100526739	APITD1-CORT	NP_001257446.1	NM_001270517	CCDS115.1	CENPS
378708	APITD1	NP_954988.1	NM_199294	CCDS115.1	CENPS
378708	APITD1	XP_005263510.1	PRJNA168;XM_005263453	-	CENPS
1325	CORT	NP_001293.3	NM_001302	CCDS117.2	CORT
1676	DFFA	NP_004392.1	NM_004401	CCDS118.1	DFFA
5195	PEX14	NP_004556.1	NM_004565	CCDS30582.1	PEX14
54897	CASZ1	NP_001073312.1	NM_001079843	CCDS41246.1	CASZ1
148345	C1orf127	NP_001164225.1	NM_001170754	CCDS53267.1	C1orf127
23435	TARDBP	NP_031401.1	NM_007375	CCDS122.1	TARDBP
10747	MASP2	NP_006601.2	NM_006610	CCDS123.1	MASP2
6723	SRM	NP_003123.2	NM_003132	CCDS125.1	SRM
5394	EXOSC10	NP_001001998.1	NM_001001998	CCDS30584.1	EXOSC10
2475	MTOR	NP_004949.1	NM_004958	CCDS127.1	MTOR
2475	MTOR	XP_005263495.1	PRJNA168;XM_005263438	-	MTOR
10218	ANGPTL7	NP_066969.1	NM_021146	CCDS128.1	ANGPTL7
29914	UBIAD1	NP_037451.1	NM_013319	CCDS129.1	UBIAD1
57540	PTCHD2	NP_065831.1	NM_020780	CCDS41247.1	DISP3
57540	PTCHD2	XP_005263543.1	PRJNA168;XM_005263486	-	DISP3
26232	FBXO2	NP_036300.2	NM_012168	CCDS130.1	FBXO2
93611	FBXO44	NP_001014765.1	NM_001014765	CCDS132.1	FBXO44
93611	FBXO44	NP_149438.2	NM_033182	CCDS132.1	FBXO44
93611	FBXO44	XP_005263595.1	PRJNA168;XM_005263538	-	FBXO44
26270	FBXO6	NP_060908.1	NM_018438	CCDS133.1	FBXO6
26270	FBXO6	XP_005263505.1	PRJNA168;XM_005263448	-	FBXO6
26270	FBXO6	XP_005263506.1	PRJNA168;XM_005263449	-	FBXO6
26270	FBXO6	XP_005263507.1	PRJNA168;XM_005263450	-	FBXO6
26270	FBXO6	XP_005263508.1	PRJNA168;XM_005263451	-	FBXO6
10459	MAD2L2	NP_006332.3	NM_006341	CCDS134.1	MAD2L2
10459	MAD2L2	NP_001120797.1	NM_001127325	CCDS134.1	MAD2L2
374946	DRAXIN	NP_940947.3	NM_198545	CCDS135.1	DRAXIN
57085	AGTRAP	NP_065083.3	NM_020350	CCDS136.1	AGTRAP
284498	C1orf167	XP_003118893.3	PRJNA168;XM_003118845	-	C1orf167
4878	NPPA	NP_006163.1	NM_006172	CCDS139.1	NPPA
4879	NPPB	NP_002512.1	NM_002521	CCDS140.1	NPPB
90231	KIAA2013	NP_612355.1	NM_138346	CCDS141.1	KIAA2013
5351	PLOD1	NP_000293.2	NM_000302	CCDS142.1	PLOD1
9927	MFN2	NP_055689.1	NM_014874	CCDS30587.1	MFN2
9927	MFN2	NP_001121132.1	NM_001127660	CCDS30587.1	MFN2
9927	MFN2	XP_005263600.1	PRJNA168;XM_005263543	-	MFN2
9927	MFN2	XP_005263601.1	PRJNA168;XM_005263544	-	MFN2
9927	MFN2	XP_005263602.1	PRJNA168;XM_005263545	-	MFN2
9927	MFN2	XP_005263603.1	PRJNA168;XM_005263546	-	MFN2
9927	MFN2	XP_005263604.1	PRJNA168;XM_005263547	-	MFN2
9927	MFN2	XP_005263605.1	PRJNA168;XM_005263548	-	MFN2
60672	MIIP	NP_068752.2	NM_021933	CCDS143.1	MIIP
7133	TNFRSF1B	NP_001057.1	NM_001066	CCDS145.1	TNFRSF1B
9249	DHRS3	NP_004744.2	NM_004753	CCDS146.1	DHRS3
343066	AADACL4	NP_001013652.1	NM_001013630	CCDS30590.1	AADACL4
343069	HNRNPCL1	NP_001013653.1	NM_001013631	CCDS30591.1	HNRNPCL1
65122	PRAMEF2	NP_075390.1	NM_023014	CCDS149.1	PRAMEF2
440561	PRAMEF6	NP_001010889.1	NM_001010889	CCDS30594.1	PRAMEF6
343070	PRAMEF9	NP_001010890.1	NM_001010890	CCDS30598.1	PRAMEF15
653619	PRAMEF15	NP_001091846.1	NM_001098376	CCDS44059.1	PRAMEF15
391004	PRAMEF17	NP_001093321.1	NM_001099851	CCDS41264.1	PRAMEF17
126755	LRRC38	NP_001010847.1	NM_001010847	CCDS53269.1	LRRC38
7799	PRDM2	NP_036363.2	NM_012231	CCDS150.1	PRDM2
7799	PRDM2	XP_005246050.1	PRJNA168;XM_005245993	-	PRDM2
23254	KAZN	NP_963922.2	NM_201628	CCDS152.2	KAZN
55092	TMEM51	NP_060492.1	NM_018022	CCDS154.1	TMEM51
55092	TMEM51	NP_001129688.1	NM_001136216	CCDS154.1	TMEM51
55092	TMEM51	NP_001129689.1	NM_001136217	CCDS154.1	TMEM51
55092	TMEM51	NP_001129690.1	NM_001136218	CCDS154.1	TMEM51
55092	TMEM51	XP_005245976.1	PRJNA168;XM_005245919	-	TMEM51
79180	EFHD2	NP_077305.2	NM_024329	CCDS155.1	EFHD2
11330	CTRC	NP_009203.2	NM_007272	CCDS156.1	CTRC
63036	CELA2A	NP_254275.1	NM_033440	CCDS157.1	CELA2A
842	CASP9	NP_001220.2	NM_001229	CCDS158.1	CASP9
23341	DNAJC16	NP_056106.1	NM_015291	CCDS30606.1	DNAJC16
79814	AGMAT	NP_079034.3	NM_024758	CCDS160.1	AGMAT
84301	DDI2	NP_115717.3	NM_032341	CCDS30607.1	DDI2
6248	RSC1A1	NP_006502.1	NM_006511	CCDS161.1	RSC1A1
84301	DDI2	XP_005246075.1	PRJNA168;XM_005246018	-	RSC1A1
23207	PLEKHM2	NP_055979.2	NM_015164	CCDS44063.1	PLEKHM2
284723	SLC25A34	NP_997231.1	NM_207348	CCDS162.1	SLC25A34
388595	TMEM82	NP_001013663.1	NM_001013641	CCDS30608.1	TMEM82
54751	FBLIM1	NP_060026.2	NM_017556	CCDS163.1	FBLIM1
54751	FBLIM1	XP_005245965.1	PRJNA168;XM_005245908	-	FBLIM1
54751	FBLIM1	XP_005245966.1	PRJNA168;XM_005245909	-	FBLIM1
440567	UQCRHL	NP_001083060.1	NM_001089591	-	UQCRHL
23013	SPEN	NP_055816.2	NM_015001	CCDS164.1	SPEN
7709	ZBTB17	NP_003434.2	NM_003443	CCDS165.1	ZBTB17
149563	C1orf64	NP_849162.1	NM_178840	CCDS166.1	SRARP
149563	C1orf64	XP_005245801.1	PRJNA168;XM_005245744	-	SRARP
27129	HSPB7	NP_055239.1	NM_014424	CCDS30611.1	HSPB7
1187	CLCNKA	NP_004061.3	NM_004070	CCDS167.1	CLCNKA
1188	CLCNKB	NP_000076.2	NM_000085	CCDS168.1	CLCNKB
348487	FAM131C	NP_872429.2	NM_182623	CCDS41270.1	FAM131C
1969	EPHA2	NP_004422.2	NM_004431	CCDS169.1	EPHA2
128272	ARHGEF19	NP_694945.2	NM_153213	CCDS170.1	ARHGEF19
79363	RSG1	NP_112169.2	NM_030907	CCDS171.1	CPLANE2
54455	FBXO42	NP_061867.1	NM_018994	CCDS30613.1	FBXO42
54455	FBXO42	XP_005245956.1	PRJNA168;XM_005245899	-	FBXO42
26099	SZRD1	NP_001108072.1	NM_001114600	CCDS44065.1	SZRD1
55707	NECAP2	NP_060560.1	NM_018090	CCDS173.1	NECAP2
4237	MFAP2	NP_059453.1	NM_017459	CCDS174.1	MFAP2
4237	MFAP2	NP_002394.1	NM_002403	CCDS174.1	MFAP2
6390	SDHB	NP_002991.2	NM_003000	CCDS176.1	SDHB
11240	PADI2	NP_031391.2	NM_007365	CCDS177.1	PADI2
29943	PADI1	NP_037490.2	NM_013358	CCDS178.1	PADI1
51702	PADI3	NP_057317.2	NM_016233	CCDS179.1	PADI3
23569	PADI4	NP_036519.2	NM_012387	CCDS180.1	PADI4
353238	PADI6	NP_997304.3	NM_207421	-	PADI6
55920	RCC2	NP_061185.1	NM_018715	CCDS181.1	RCC2
55920	RCC2	NP_001129676.1	NM_001136204	CCDS181.1	RCC2
81569	ACTL8	NP_110439.2	NM_030812	CCDS183.1	ACTL8
81569	ACTL8	XP_005246061.1	PRJNA168;XM_005246004	-	ACTL8
84966	IGSF21	NP_116269.3	NM_032880	CCDS184.1	IGSF21
127707	KLHDC7A	NP_689588.2	NM_152375	CCDS185.2	KLHDC7A
5081	PAX7	NP_001128726.1	NM_001135254	CCDS44074.1	PAX7
80834	TAS1R2	NP_689418.2	NM_152232	CCDS187.1	TAS1R2
8659	ALDH4A1	NP_003739.2	NM_003748	CCDS188.1	ALDH4A1
8659	ALDH4A1	NP_733844.1	NM_170726	CCDS188.1	ALDH4A1
126917	IFFO2	NP_001129737.1	NM_001136265	CCDS44076.1	IFFO2
23352	UBR4	NP_065816.2	NM_020765	CCDS189.1	UBR4
23065	EMC1	NP_055862.1	NM_015047	CCDS190.1	EMC1
51154	MRTO4	NP_057267.2	NM_016183	CCDS191.1	MRTO4
22977	AKR7A3	NP_036199.2	NM_012067	CCDS193.1	AKR7A3
8574	AKR7A2	NP_003680.2	NM_003689	CCDS194.1	AKR7A2
54896	PQLC2	NP_001035214.1	NM_001040125	CCDS195.2	SLC66A1
54896	PQLC2	NP_060235.2	NM_017765	CCDS195.2	SLC66A1
54896	PQLC2	XP_005245973.1	PRJNA168;XM_005245916	-	SLC66A1
832	CAPZB	NP_004921.1	NM_004930	CCDS41277.1	CAPZB
440574	MINOS1	NP_001027535.1	NM_001032363	CCDS30620.1	MICOS10
100532736	MINOS1-NBL1	NP_001191018.1	NM_001204089	CCDS196.2	NBL1
4681	NBL1	NP_001191014.1	NM_001204085	CCDS196.2	NBL1
4681	NBL1	NP_001191013.1	NM_001204084	CCDS196.2	NBL1
4681	NBL1	NP_005371.2	NM_005380	CCDS196.2	NBL1
4681	NBL1	NP_001265093.1	NM_001278164	-	NBL1
4681	NBL1	NP_001265094.1	NM_001278165	-	NBL1
4681	NBL1	NP_001265095.1	NM_001278166	-	NBL1
3362	HTR6	NP_000862.1	NM_000871	CCDS197.1	HTR6
255104	TMCO4	NP_859070.3	NM_181719	CCDS198.1	TMCO4
255104	TMCO4	XP_005245879.1	PRJNA168;XM_005245822	-	TMCO4
255104	TMCO4	XP_005245880.1	PRJNA168;XM_005245823	-	TMCO4
255104	TMCO4	XP_005245881.1	PRJNA168;XM_005245824	-	TMCO4
255104	TMCO4	XP_005245882.1	PRJNA168;XM_005245825	-	TMCO4
255104	TMCO4	XP_005245883.1	PRJNA168;XM_005245826	-	TMCO4
54546	RNF186	NP_061935.1	NM_019062	CCDS199.1	RNF186
23252	OTUD3	NP_056022.1	NM_015207	CCDS41279.1	OTUD3
30814	PLA2G2E	NP_055404.1	NM_014589	CCDS200.1	PLA2G2E
5320	PLA2G2A	NP_000291.1	NM_000300	CCDS201.1	PLA2G2A
5320	PLA2G2A	NP_001155199.1	NM_001161727	CCDS201.1	PLA2G2A
5320	PLA2G2A	NP_001155200.1	NM_001161728	CCDS201.1	PLA2G2A
5320	PLA2G2A	NP_001155201.1	NM_001161729	CCDS201.1	PLA2G2A
5322	PLA2G5	NP_000920.1	NM_000929	CCDS202.1	PLA2G5
5322	PLA2G5	XP_005245950.1	PRJNA168;XM_005245893	-	PLA2G5
5322	PLA2G5	XP_005245951.1	PRJNA168;XM_005245894	-	PLA2G5
5322	PLA2G5	XP_005245952.1	PRJNA168;XM_005245895	-	PLA2G5
5322	PLA2G5	XP_005245953.1	PRJNA168;XM_005245896	-	PLA2G5
26279	PLA2G2D	NP_036532.1	NM_012400	CCDS203.1	PLA2G2D
64600	PLA2G2F	NP_073730.3	NM_022819	CCDS204.2	PLA2G2F
127733	UBXN10	NP_689589.1	NM_152376	CCDS205.1	UBXN10
127733	UBXN10	XP_005245799.1	PRJNA168;XM_005245742	-	UBXN10
127731	VWA5B1	NP_001034589.2	NM_001039500	-	VWA5B1
55450	CAMK2N1	NP_061054.2	NM_018584	CCDS207.1	CAMK2N1
79594	MUL1	NP_078820.2	NM_024544	CCDS208.1	MUL1
163933	FAM43B	NP_997217.1	NM_207334	CCDS209.1	FAM43B
978	CDA	NP_001776.1	NM_001785	CCDS210.1	CDA
65018	PINK1	NP_115785.1	NM_032409	CCDS211.1	PINK1
400745	SH2D5	NP_001096631.1	NM_001103161	CCDS44080.1	SH2D5
50809	HP1BP3	NP_057371.2	NM_016287	CCDS30621.1	HP1BP3
50809	HP1BP3	XP_005245932.1	PRJNA168;XM_005245875	-	HP1BP3
50809	HP1BP3	XP_005245933.1	PRJNA168;XM_005245876	-	HP1BP3
50809	HP1BP3	XP_005245934.1	PRJNA168;XM_005245877	-	HP1BP3
50809	HP1BP3	XP_005245935.1	PRJNA168;XM_005245878	-	HP1BP3
84224	NBPF3	NP_115640.1	NM_032264	CCDS216.1	NBPF3
249	ALPL	NP_000469.3	NM_000478	CCDS217.1	ALPL
249	ALPL	XP_005245875.1	PRJNA168;XM_005245818	-	ALPL
84196	USP48	NP_115612.4	NM_032236	CCDS30623.1	USP48
401944	LDLRAD2	NP_001013715.2	NM_001013693	CCDS30624.1	LDLRAD2
3339	HSPG2	NP_005520.4	NM_005529	CCDS30625.1	HSPG2
23436	CELA3B	NP_031378.1	NM_007352	CCDS219.1	CELA3B
10136	CELA3A	NP_005738.4	NM_005747	CCDS220.1	CELA3A
998	CDC42	NP_001034891.1	NM_001039802	CCDS221.1	CDC42
998	CDC42	NP_001782.1	NM_001791	CCDS221.1	CDC42
998	CDC42	XP_005246103.1	PRJNA168;XM_005246046	-	CDC42
54361	WNT4	NP_110388.2	NM_030761	CCDS223.1	WNT4
9923	ZBTB40	NP_055685.3	NM_014870	CCDS224.1	ZBTB40
9923	ZBTB40	NP_001077090.1	NM_001083621	CCDS224.1	ZBTB40
2046	EPHA8	NP_065387.1	NM_020526	CCDS225.1	EPHA8
712	C1QA	NP_057075.1	NM_015991	CCDS226.1	C1QA
714	C1QC	NP_001107573.1	NM_001114101	CCDS227.1	C1QC
714	C1QC	NP_758957.2	NM_172369	CCDS227.1	C1QC
3352	HTR1D	NP_000855.1	NM_000864	CCDS231.1	HTR1D
10236	HNRNPR	NP_005817.1	NM_005826	CCDS232.1	HNRNPR
10236	HNRNPR	XP_005245768.1	PRJNA168;XM_005245711	-	HNRNPR
80818	ZNF436	NP_001070663.1	NM_001077195	CCDS233.1	ZNF436
80818	ZNF436	NP_085137.1	NM_030634	CCDS233.1	ZNF436
6920	TCEA3	NP_003187.1	NM_003196	CCDS44086.1	TCEA3
55616	ASAP3	NP_060177.2	NM_017707	CCDS235.1	ASAP3
1870	E2F2	NP_004082.1	NM_004091	CCDS236.1	E2F2
3399	ID3	NP_002158.3	NM_002167	CCDS237.1	ID3
6135	RPL11	NP_000966.2	NM_000975	CCDS238.1	RPL11
57095	PITHD1	NP_065095.2	NM_020362	CCDS240.1	PITHD1
11313	LYPLA2	NP_009191.1	NM_007260	CCDS241.1	LYPLA2
2582	GALE	NP_001121093.1	NM_001127621	CCDS242.1	GALE
2582	GALE	NP_001008217.1	NM_001008216	CCDS242.1	GALE
2582	GALE	NP_000394.2	NM_000403	CCDS242.1	GALE
3155	HMGCL	NP_000182.2	NM_000191	CCDS243.1	HMGCL
2517	FUCA1	NP_000138.2	NM_000147	CCDS244.2	FUCA1
1269	CNR2	NP_001832.1	NM_001841	CCDS245.1	CNR2
1269	CNR2	XP_005245793.1	PRJNA168;XM_005245736	-	CNR2
1269	CNR2	XP_005245794.1	PRJNA168;XM_005245737	-	CNR2
1269	CNR2	XP_005245795.1	PRJNA168;XM_005245738	-	CNR2
55629	PNRC2	NP_060231.1	NM_017761	CCDS246.1	PNRC2
10772	SRSF10	NP_473357.1	NM_054016	CCDS30630.1	SRSF10
127294	MYOM3	NP_689585.3	NM_152372	CCDS41281.1	MYOM3
58985	IL22RA1	NP_067081.2	NM_021258	CCDS247.1	IL22RA1
163702	IFNLR1	NP_734464.1	NM_170743	CCDS248.1	IFNLR1
57822	GRHL3	NP_937816.1	NM_198173	CCDS44088.1	GRHL3
90529	STPG1	NP_001185941.1	NM_001199012	CCDS55581.1	STPG1
90529	STPG1	NP_001185942.1	NM_001199013	CCDS55581.1	STPG1
57185	NIPAL3	NP_065181.1	NM_020448	CCDS30631.1	NIPAL3
57185	NIPAL3	XP_005246003.1	PRJNA168;XM_005245946	-	NIPAL3
11123	RCAN3	NP_001238908.1	NM_001251979	CCDS254.1	RCAN3
11123	RCAN3	NP_038469.1	NM_013441	CCDS254.1	RCAN3
11123	RCAN3	NP_001238906.1	NM_001251977	CCDS254.1	RCAN3
11123	RCAN3	NP_001238907.1	NM_001251978	CCDS254.1	RCAN3
400746	NCMAP	NP_001010980.1	NM_001010980	CCDS30632.1	NCMAP
400746	NCMAP	XP_005245929.1	PRJNA168;XM_005245872	-	NCMAP
10250	SRRM1	NP_005830.2	NM_005839	CCDS255.1	SRRM1
25932	CLIC4	NP_039234.1	NM_013943	CCDS256.1	CLIC4
25949	SYF2	NP_056299.1	NM_015484	CCDS259.1	SYF2
57035	C1orf63	NP_064713.3	NM_020317	CCDS260.1	RSRP1
23585	TMEM50A	NP_055128.1	NM_014313	CCDS264.1	TMEM50A
23585	TMEM50A	XP_005245873.1	PRJNA168;XM_005245816	-	TMEM50A
55219	TMEM57	NP_060672.2	NM_018202	CCDS30638.1	MACO1
26119	LDLRAP1	NP_056442.2	NM_015627	CCDS30639.1	LDLRAP1
